CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
  0    0      0    0 0:0:0:0           yes 3707.8120 1500.0000 2400.000
  1    0      0    1 1:1:1:0           yes 3707.8120 1500.0000 2400.000
  2    0      0    2 2:2:2:0           yes 3707.8120 1500.0000 2400.000
  3    0      0    3 3:3:3:0           yes 3707.8120 1500.0000 2400.000
  4    0      0    4 4:4:4:0           yes 3707.8120 1500.0000 2400.000
  5    0      0    5 5:5:5:0           yes 3707.8120 1500.0000 2400.000
  6    0      0    6 6:6:6:0           yes 3707.8120 1500.0000 2400.000
  7    0      0    7 7:7:7:0           yes 3707.8120 1500.0000 2400.000
  8    0      0    8 64:64:64:8        yes 3707.8120 1500.0000 2400.000
  9    0      0    9 65:65:65:8        yes 3707.8120 1500.0000 3694.333
 10    0      0   10 66:66:66:8        yes 3707.8120 1500.0000 2400.000
 11    0      0   11 67:67:67:8        yes 3707.8120 1500.0000 2400.000
 12    0      0   12 68:68:68:8        yes 3707.8120 1500.0000 3694.332
 13    0      0   13 69:69:69:8        yes 3707.8120 1500.0000 2400.000
 14    0      0   14 70:70:70:8        yes 3707.8120 1500.0000 2400.000
 15    0      0   15 71:71:71:8        yes 3707.8120 1500.0000 2400.000
 16    0      0   16 128:128:128:16    yes 3707.8120 1500.0000 3694.337
 17    0      0   17 129:129:129:16    yes 3707.8120 1500.0000 2400.000
 18    0      0   18 130:130:130:16    yes 3707.8120 1500.0000 3694.336
 19    0      0   19 131:131:131:16    yes 3707.8120 1500.0000 2400.000
 20    0      0   20 132:132:132:16    yes 3707.8120 1500.0000 2400.000
 21    0      0   21 133:133:133:16    yes 3707.8120 1500.0000 2400.000
 22    0      0   22 134:134:134:16    yes 3707.8120 1500.0000 2400.000
 23    0      0   23 135:135:135:16    yes 3707.8120 1500.0000 2400.000
 24    1      0   24 32:32:32:4        yes 3707.8120 1500.0000 2400.000
 25    1      0   25 33:33:33:4        yes 3707.8120 1500.0000 2400.000
 26    1      0   26 34:34:34:4        yes 3707.8120 1500.0000 2400.000
 27    1      0   27 35:35:35:4        yes 3707.8120 1500.0000 2400.000
 28    1      0   28 36:36:36:4        yes 3707.8120 1500.0000 2400.000
 29    1      0   29 37:37:37:4        yes 3707.8120 1500.0000 2400.000
 30    1      0   30 38:38:38:4        yes 3707.8120 1500.0000 2400.000
 31    1      0   31 39:39:39:4        yes 3707.8120 1500.0000 3694.337
 32    1      0   32 96:96:96:12       yes 3707.8120 1500.0000 2400.000
 33    1      0   33 97:97:97:12       yes 3707.8120 1500.0000 2400.000
 34    1      0   34 98:98:98:12       yes 3707.8120 1500.0000 2400.000
 35    1      0   35 99:99:99:12       yes 3707.8120 1500.0000 3694.342
 36    1      0   36 100:100:100:12    yes 3707.8120 1500.0000 2400.000
 37    1      0   37 101:101:101:12    yes 3707.8120 1500.0000 2400.000
 38    1      0   38 102:102:102:12    yes 3707.8120 1500.0000 2400.000
 39    1      0   39 103:103:103:12    yes 3707.8120 1500.0000 2400.000
 40    1      0   40 160:160:160:20    yes 3707.8120 1500.0000 2400.000
 41    1      0   41 161:161:161:20    yes 3707.8120 1500.0000 2400.000
 42    1      0   42 162:162:162:20    yes 3707.8120 1500.0000 2400.000
 43    1      0   43 163:163:163:20    yes 3707.8120 1500.0000 2400.000
 44    1      0   44 164:164:164:20    yes 3707.8120 1500.0000 2400.000
 45    1      0   45 165:165:165:20    yes 3707.8120 1500.0000 2400.000
 46    1      0   46 166:166:166:20    yes 3707.8120 1500.0000 2400.000
 47    1      0   47 167:167:167:20    yes 3707.8120 1500.0000 2400.000
 48    2      0   48 48:48:48:6        yes 3707.8120 1500.0000 2400.000
 49    2      0   49 49:49:49:6        yes 3707.8120 1500.0000 2400.000
 50    2      0   50 50:50:50:6        yes 3707.8120 1500.0000 2400.000
 51    2      0   51 51:51:51:6        yes 3707.8120 1500.0000 2400.000
 52    2      0   52 52:52:52:6        yes 3707.8120 1500.0000 2400.000
 53    2      0   53 53:53:53:6        yes 3707.8120 1500.0000 2400.000
 54    2      0   54 54:54:54:6        yes 3707.8120 1500.0000 2400.000
 55    2      0   55 55:55:55:6        yes 3707.8120 1500.0000 2400.000
 56    2      0   56 112:112:112:14    yes 3707.8120 1500.0000 2400.000
 57    2      0   57 113:113:113:14    yes 3707.8120 1500.0000 2400.000
 58    2      0   58 114:114:114:14    yes 3707.8120 1500.0000 2400.000
 59    2      0   59 115:115:115:14    yes 3707.8120 1500.0000 2400.000
 60    2      0   60 116:116:116:14    yes 3707.8120 1500.0000 2400.000
 61    2      0   61 117:117:117:14    yes 3707.8120 1500.0000 2400.000
 62    2      0   62 118:118:118:14    yes 3707.8120 1500.0000 2400.000
 63    2      0   63 119:119:119:14    yes 3707.8120 1500.0000 2400.000
 64    2      0   64 176:176:176:22    yes 3707.8120 1500.0000 2400.000
 65    2      0   65 177:177:177:22    yes 3707.8120 1500.0000 2400.000
 66    2      0   66 178:178:178:22    yes 3707.8120 1500.0000 2400.000
 67    2      0   67 179:179:179:22    yes 3707.8120 1500.0000 3694.336
 68    2      0   68 180:180:180:22    yes 3707.8120 1500.0000 2400.000
 69    2      0   69 181:181:181:22    yes 3707.8120 1500.0000 2400.000
 70    2      0   70 182:182:182:22    yes 3707.8120 1500.0000 2400.000
 71    2      0   71 183:183:183:22    yes 3707.8120 1500.0000 2400.000
 72    3      0   72 16:16:16:2        yes 3707.8120 1500.0000 2400.000
 73    3      0   73 17:17:17:2        yes 3707.8120 1500.0000 3673.541
 74    3      0   74 18:18:18:2        yes 3707.8120 1500.0000 2400.000
 75    3      0   75 19:19:19:2        yes 3707.8120 1500.0000 2400.000
 76    3      0   76 20:20:20:2        yes 3707.8120 1500.0000 2400.000
 77    3      0   77 21:21:21:2        yes 3707.8120 1500.0000 2400.000
 78    3      0   78 22:22:22:2        yes 3707.8120 1500.0000 2400.000
 79    3      0   79 23:23:23:2        yes 3707.8120 1500.0000 2400.000
 80    3      0   80 80:80:80:10       yes 3707.8120 1500.0000 2400.000
 81    3      0   81 81:81:81:10       yes 3707.8120 1500.0000 2400.000
 82    3      0   82 82:82:82:10       yes 3707.8120 1500.0000 2400.000
 83    3      0   83 83:83:83:10       yes 3707.8120 1500.0000 2400.000
 84    3      0   84 84:84:84:10       yes 3707.8120 1500.0000 2400.000
 85    3      0   85 85:85:85:10       yes 3707.8120 1500.0000 2400.000
 86    3      0   86 86:86:86:10       yes 3707.8120 1500.0000 2400.000
 87    3      0   87 87:87:87:10       yes 3707.8120 1500.0000 2400.000
 88    3      0   88 144:144:144:18    yes 3707.8120 1500.0000 2400.000
 89    3      0   89 145:145:145:18    yes 3707.8120 1500.0000 2400.000
 90    3      0   90 146:146:146:18    yes 3707.8120 1500.0000 2400.000
 91    3      0   91 147:147:147:18    yes 3707.8120 1500.0000 2400.000
 92    3      0   92 148:148:148:18    yes 3707.8120 1500.0000 3694.336
 93    3      0   93 149:149:149:18    yes 3707.8120 1500.0000 3694.332
 94    3      0   94 150:150:150:18    yes 3707.8120 1500.0000 3694.332
 95    3      0   95 151:151:151:18    yes 3707.8120 1500.0000 3694.335
 96    4      1   96 256:256:256:32    yes 3707.8120 1500.0000 2400.000
 97    4      1   97 257:257:257:32    yes 3707.8120 1500.0000 2400.000
 98    4      1   98 258:258:258:32    yes 3707.8120 1500.0000 2400.000
 99    4      1   99 259:259:259:32    yes 3707.8120 1500.0000 2400.000
100    4      1  100 260:260:260:32    yes 3707.8120 1500.0000 2400.000
