CPU NODE CLUSTER CORE ONLINE MAXMHZ    MINMHZ
0   0    0       0    yes    2200.0000 1600.0000
1   1    1       1    yes    2200.0000 1600.0000
2   -    -       -    no     -         -
3   -    -       -    no     -         -
4   -    -       -    no     -         -
5   -    -       -    no     -         -
6   -    -       -    no     -         -
7   -    -       -    no     -         -
8   -    -       -    no     -         -
9   -    -       -    no     -         -
10  -    -       -    no     -         -
11  -    -       -    no     -         -
12  4    2       2    yes    2200.0000 1600.0000
13  4    2       3    yes    2200.0000 1600.0000
14  4    2       4    yes    2200.0000 1600.0000
15  4    2       5    yes    2200.0000 1600.0000
16  4    2       6    yes    2200.0000 1600.0000
17  4    2       7    yes    2200.0000 1600.0000
18  4    2       8    yes    2200.0000 1600.0000
19  4    2       9    yes    2200.0000 1600.0000
20  4    2       10   yes    2200.0000 1600.0000
21  4    2       11   yes    2200.0000 1600.0000
22  4    2       12   yes    2200.0000 1600.0000
23  4    2       13   yes    2200.0000 1600.0000
24  5    3       14   yes    2200.0000 1600.0000
25  5    3       15   yes    2200.0000 1600.0000
26  5    3       16   yes    2200.0000 1600.0000
27  5    3       17   yes    2200.0000 1600.0000
28  5    3       18   yes    2200.0000 1600.0000
29  5    3       19   yes    2200.0000 1600.0000
30  5    3       20   yes    2200.0000 1600.0000
31  5    3       21   yes    2200.0000 1600.0000
32  5    3       22   yes    2200.0000 1600.0000
33  5    3       23   yes    2200.0000 1600.0000
34  5    3       24   yes    2200.0000 1600.0000
35  5    3       25   yes    2200.0000 1600.0000
36  6    4       26   yes    2200.0000 1600.0000
37  6    4       27   yes    2200.0000 1600.0000
38  6    4       28   yes    2200.0000 1600.0000
39  6    4       29   yes    2200.0000 1600.0000
40  6    4       30   yes    2200.0000 1600.0000
41  6    4       31   yes    2200.0000 1600.0000
42  6    4       32   yes    2200.0000 1600.0000
43  6    4       33   yes    2200.0000 1600.0000
44  6    4       34   yes    2200.0000 1600.0000
45  6    4       35   yes    2200.0000 1600.0000
46  6    4       36   yes    2200.0000 1600.0000
47  6    4       37   yes    2200.0000 1600.0000
48  7    5       38   yes    2200.0000 1600.0000
49  7    5       39   yes    2200.0000 1600.0000
50  7    5       40   yes    2200.0000 1600.0000
51  7    5       41   yes    2200.0000 1600.0000
52  7    5       42   yes    2200.0000 1600.0000
53  7    5       43   yes    2200.0000 1600.0000
54  7    5       44   yes    2200.0000 1600.0000
55  7    5       45   yes    2200.0000 1600.0000
56  7    5       46   yes    2200.0000 1600.0000
57  7    5       47   yes    2200.0000 1600.0000
58  7    5       48   yes    2200.0000 1600.0000
59  7    5       49   yes    2200.0000 1600.0000
