CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE
0   0    0      0    0:0:0:0        yes
1   0    0      1    1:1:1:0        yes
2   0    0      2    2:2:2:0        yes
3   0    0      3    3:3:3:0        yes
4   0    0      4    4:4:4:1        yes
5   0    0      5    5:5:5:1        yes
6   0    0      6    6:6:6:1        yes
7   0    0      7    7:7:7:1        yes
8   0    0      8    8:8:8:2        yes
9   0    0      9    9:9:9:2        yes
10  0    0      10   10:10:10:2     yes
11  0    0      11   11:11:11:2     yes
12  0    0      12   12:12:12:3     yes
13  0    0      13   13:13:13:3     yes
14  0    0      14   14:14:14:3     yes
15  0    0      15   15:15:15:3     yes
16  1    0      16   16:16:16:4     yes
17  1    0      17   17:17:17:4     yes
18  1    0      18   18:18:18:4     yes
19  1    0      19   19:19:19:4     yes
20  1    0      20   20:20:20:5     yes
21  1    0      21   21:21:21:5     yes
22  1    0      22   22:22:22:5     yes
23  1    0      23   23:23:23:5     yes
24  1    0      24   24:24:24:6     yes
25  1    0      25   25:25:25:6     yes
26  1    0      26   26:26:26:6     yes
27  1    0      27   27:27:27:6     yes
28  1    0      28   28:28:28:7     yes
29  1    0      29   29:29:29:7     yes
30  1    0      30   30:30:30:7     yes
31  1    0      31   31:31:31:7     yes
32  2    0      32   32:32:32:8     yes
33  2    0      33   33:33:33:8     yes
34  2    0      34   34:34:34:8     yes
35  2    0      35   35:35:35:8     yes
36  2    0      36   36:36:36:9     yes
37  2    0      37   37:37:37:9     yes
38  2    0      38   38:38:38:9     yes
39  2    0      39   39:39:39:9     yes
40  2    0      40   40:40:40:10    yes
41  2    0      41   41:41:41:10    yes
42  2    0      42   42:42:42:10    yes
43  2    0      43   43:43:43:10    yes
44  2    0      44   44:44:44:11    yes
45  2    0      45   45:45:45:11    yes
46  2    0      46   46:46:46:11    yes
47  2    0      47   47:47:47:11    yes
48  3    0      48   48:48:48:12    yes
49  3    0      49   49:49:49:12    yes
50  3    0      50   50:50:50:12    yes
51  3    0      51   51:51:51:12    yes
52  3    0      52   52:52:52:13    yes
53  3    0      53   53:53:53:13    yes
54  3    0      54   54:54:54:13    yes
55  3    0      55   55:55:55:13    yes
56  3    0      56   56:56:56:14    yes
