CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ      MHZ
0    0      0    0 0:0:0:0          yes 5000.0000 400.0000 2900.000
1    0      0    0 0:0:0:0          yes 5000.0000 400.0000 2900.000
2    0      0    1 4:4:1:0          yes 5000.0000 400.0000 2900.000
3    0      0    1 4:4:1:0          yes 5000.0000 400.0000 2900.000
4    0      0    2 8:8:2:0          yes 5000.0000 400.0000 2900.000
5    0      0    2 8:8:2:0          yes 5000.0000 400.0000 2900.000
6    0      0    3 12:12:3:0        yes 5000.0000 400.0000 2900.000
7    0      0    3 12:12:3:0        yes 5000.0000 400.0000 2900.000
8    0      0    4 16:16:4:0        yes 5000.0000 400.0000 2900.000
9    0      0    4 16:16:4:0        yes 5000.0000 400.0000 2900.000
10    0      0    5 20:20:5:0        yes 5000.0000 400.0000  495.484
11    0      0    5 20:20:5:0        yes 5000.0000 400.0000 2900.000
12    0      0    6 24:24:6:0        yes 3800.0000 400.0000 2900.000
13    0      0    7 25:25:6:0        yes 3800.0000 400.0000 2900.000
14    0      0    8 26:26:6:0        yes 3800.0000 400.0000 2900.000
15    0      0    9 27:27:6:0        yes 3800.0000 400.0000 2900.000
16    0      0   10 28:28:7:0        yes 3800.0000 400.0000 2900.000
17    0      0   11 29:29:7:0        yes 3800.0000 400.0000 2900.000
18    0      0   12 30:30:7:0        yes 3800.0000 400.0000 2900.000
19    0      0   13 31:31:7:0        yes 3800.0000 400.0000 2900.000
