CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ      MHZ
  0    0      0    0 0:0:0:0          yes 2400.0000 800.0000 2400.000
  1    0      0    1 1:1:1:0          yes 2400.0000 800.0000 2400.000
  2    0      0    2 2:2:2:0          yes 2400.0000 800.0000 2400.000
  3    0      0    3 3:3:3:0          yes 2400.0000 800.0000 2400.000
  4    0      0    4 4:4:4:0          yes 2400.0000 800.0000 2400.000
  5    0      0    5 5:5:5:0          yes 2400.0000 800.0000 2400.000
  6    0      0    6 6:6:6:0          yes 2400.0000 800.0000 2400.000
  7    0      0    7 7:7:7:0          yes 2400.0000 800.0000 2400.000
  8    0      0    8 8:8:8:0          yes 2400.0000 800.0000 2400.000
  9    0      0    9 9:9:9:0          yes 2400.0000 800.0000 2400.000
 10    0      0   10 10:10:10:0       yes 2400.0000 800.0000 2400.000
 11    0      0   11 11:11:11:0       yes 2400.0000 800.0000 2400.000
 12    0      0   12 12:12:12:0       yes 2400.0000 800.0000 2400.000
 13    0      0   13 13:13:13:0       yes 2400.0000 800.0000 2400.000
 14    0      0   14 14:14:14:0       yes 2400.0000 800.0000 2400.000
 15    0      0   15 15:15:15:0       yes 2400.0000 800.0000 2400.000
 16    0      0   16 16:16:16:0       yes 2400.0000 800.0000 2400.000
 17    0      0   17 17:17:17:0       yes 2400.0000 800.0000 2400.000
 18    0      0   18 18:18:18:0       yes 2400.0000 800.0000 2400.000
 19    0      0   19 19:19:19:0       yes 2400.0000 800.0000 2400.000
 20    0      0   20 20:20:20:0       yes 2400.0000 800.0000 2400.000
 21    0      0   21 21:21:21:0       yes 2400.0000 800.0000 2400.000
 22    0      0   22 22:22:22:0       yes 2400.0000 800.0000 2400.000
 23    0      0   23 23:23:23:0       yes 2400.0000 800.0000 2400.000
 24    0      0   24 24:24:24:0       yes 2400.0000 800.0000 2400.000
 25    0      0   25 25:25:25:0       yes 2400.0000 800.0000 2400.000
 26    0      0   26 26:26:26:0       yes 2400.0000 800.0000 2400.000
 27    0      0   27 27:27:27:0       yes 2400.0000 800.0000 2400.000
 28    0      0   28 28:28:28:0       yes 2400.0000 800.0000 2400.000
 29    0      0   29 29:29:29:0       yes 2400.0000 800.0000 2400.000
 30    0      0   30 30:30:30:0       yes 2400.0000 800.0000 2400.000
 31    0      0   31 31:31:31:0       yes 2400.0000 800.0000 2400.000
 32    0      0   32 32:32:32:0       yes 2400.0000 800.0000 2400.000
 33    0      0   33 33:33:33:0       yes 2400.0000 800.0000 2400.000
 34    0      0   34 34:34:34:0       yes 2400.0000 800.0000 2400.000
 35    0      0   35 35:35:35:0       yes 2400.0000 800.0000 2400.000
 36    1      1   36 64:64:64:1       yes 2400.0000 800.0000 2400.000
 37    1      1   37 65:65:65:1       yes 2400.0000 800.0000 1976.428
 38    1      1   38 66:66:66:1       yes 2400.0000 800.0000 2400.000
 39    1      1   39 67:67:67:1       yes 2400.0000 800.0000 2400.000
 40    1      1   40 68:68:68:1       yes 2400.0000 800.0000 2400.000
 41    1      1   41 69:69:69:1       yes 2400.0000 800.0000 2400.000
 42    1      1   42 70:70:70:1       yes 2400.0000 800.0000 2400.000
 43    1      1   43 71:71:71:1       yes 2400.0000 800.0000 2400.000
 44    1      1   44 72:72:72:1       yes 2400.0000 800.0000 2400.000
 45    1      1   45 73:73:73:1       yes 2400.0000 800.0000 2400.000
 46    1      1   46 74:74:74:1       yes 2400.0000 800.0000 2400.000
 47    1      1   47 75:75:75:1       yes 2400.0000 800.0000 2400.000
 48    1      1   48 76:76:76:1       yes 2400.0000 800.0000 2400.000
 49    1      1   49 77:77:77:1       yes 2400.0000 800.0000 2400.000
 50    1      1   50 78:78:78:1       yes 2400.0000 800.0000 2400.000
 51    1      1   51 79:79:79:1       yes 2400.0000 800.0000 2400.000
 52    1      1   52 80:80:80:1       yes 2400.0000 800.0000 2400.000
 53    1      1   53 81:81:81:1       yes 2400.0000 800.0000 2400.000
 54    1      1   54 82:82:82:1       yes 2400.0000 800.0000 2400.000
 55    1      1   55 83:83:83:1       yes 2400.0000 800.0000 2400.000
 56    1      1   56 84:84:84:1       yes 2400.0000 800.0000 2400.000
 57    1      1   57 85:85:85:1       yes 2400.0000 800.0000 2400.000
 58    1      1   58 86:86:86:1       yes 2400.0000 800.0000 2400.000
 59    1      1   59 87:87:87:1       yes 2400.0000 800.0000 2400.000
 60    1      1   60 88:88:88:1       yes 2400.0000 800.0000 2400.000
 61    1      1   61 89:89:89:1       yes 2400.0000 800.0000 2400.000
 62    1      1   62 90:90:90:1       yes 2400.0000 800.0000 2400.000
 63    1      1   63 91:91:91:1       yes 2400.0000 800.0000 2400.000
 64    1      1   64 92:92:92:1       yes 2400.0000 800.0000 2400.000
 65    1      1   65 93:93:93:1       yes 2400.0000 800.0000 2400.000
 66    1      1   66 94:94:94:1       yes 2400.0000 800.0000 2400.000
 67    1      1   67 95:95:95:1       yes 2400.0000 800.0000 2400.000
 68    1      1   68 96:96:96:1       yes 2400.0000 800.0000 2400.000
 69    1      1   69 97:97:97:1       yes 2400.0000 800.0000 2400.000
 70    1      1   70 98:98:98:1       yes 2400.0000 800.0000 2400.000
 71    1      1   71 99:99:99:1       yes 2400.0000 800.0000 2400.000
 72    0      0    0 0:0:0:0          yes 2400.0000 800.0000 2400.000
 73    0      0    1 1:1:1:0          yes 2400.0000 800.0000 2400.000
 74    0      0    2 2:2:2:0          yes 2400.0000 800.0000 2400.000
 75    0      0    3 3:3:3:0          yes 2400.0000 800.0000 2400.000
 76    0      0    4 4:4:4:0          yes 2400.0000 800.0000 2400.000
 77    0      0    5 5:5:5:0          yes 2400.0000 800.0000 2400.000
