CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
  0    0      0    0 0:0:0:0           yes 3762.9880 1500.0000 2300.000
  1    0      0    1 1:1:1:0           yes 3762.9880 1500.0000 2300.000
  2    0      0    2 2:2:2:0           yes 3762.9880 1500.0000 2300.000
  3    0      0    3 3:3:3:0           yes 3762.9880 1500.0000 2300.000
  4    0      0    4 4:4:4:0           yes 3762.9880 1500.0000 2300.000
  5    0      0    5 5:5:5:0           yes 3762.9880 1500.0000 2300.000
  6    0      0    6 6:6:6:0           yes 3762.9880 1500.0000 2300.000
  7    0      0    7 7:7:7:0           yes 3762.9880 1500.0000 2300.000
  8    1      0    8 32:32:32:4        yes 3762.9880 1500.0000 2300.000
  9    1      0    9 33:33:33:4        yes 3762.9880 1500.0000 2300.000
 10    1      0   10 34:34:34:4        yes 3762.9880 1500.0000 2300.000
 11    1      0   11 35:35:35:4        yes 3762.9880 1500.0000 2300.000
 12    1      0   12 36:36:36:4        yes 3762.9880 1500.0000 2300.000
 13    1      0   13 37:37:37:4        yes 3762.9880 1500.0000 2300.000
 14    1      0   14 38:38:38:4        yes 3762.9880 1500.0000 2300.000
 15    1      0   15 39:39:39:4        yes 3762.9880 1500.0000 2300.000
 16    2      0   16 16:16:16:2        yes 3762.9880 1500.0000 2300.000
 17    2      0   17 17:17:17:2        yes 3762.9880 1500.0000 2300.000
 18    2      0   18 18:18:18:2        yes 3762.9880 1500.0000 2300.000
 19    2      0   19 19:19:19:2        yes 3762.9880 1500.0000 2300.000
 20    2      0   20 20:20:20:2        yes 3762.9880 1500.0000 2300.000
 21    2      0   21 21:21:21:2        yes 3762.9880 1500.0000 2300.000
 22    2      0   22 22:22:22:2        yes 3762.9880 1500.0000 2300.000
 23    2      0   23 23:23:23:2        yes 3762.9880 1500.0000 2300.000
 24    3      0   24 48:48:48:6        yes 3762.9880 1500.0000 2300.000
 25    3      0   25 49:49:49:6        yes 3762.9880 1500.0000 2300.000
 26    3      0   26 50:50:50:6        yes 3762.9880 1500.0000 2300.000
 27    3      0   27 51:51:51:6        yes 3762.9880 1500.0000 2300.000
 28    3      0   28 52:52:52:6        yes 3762.9880 1500.0000 2300.000
 29    3      0   29 53:53:53:6        yes 3762.9880 1500.0000 2300.000
 30    3      0   30 54:54:54:6        yes 3762.9880 1500.0000 2300.000
 31    3      0   31 55:55:55:6        yes 3762.9880 1500.0000 2300.000
 32    4      0   32 24:24:24:3        yes 3762.9880 1500.0000 2300.000
 33    4      0   33 25:25:25:3        yes 3762.9880 1500.0000 2300.000
 34    4      0   34 26:26:26:3        yes 3762.9880 1500.0000 2300.000
 35    4      0   35 27:27:27:3        yes 3762.9880 1500.0000 2300.000
 36    4      0   36 28:28:28:3        yes 3762.9880 1500.0000 2300.000
 37    4      0   37 29:29:29:3        yes 3762.9880 1500.0000 2300.000
 38    4      0   38 30:30:30:3        yes 3762.9880 1500.0000 2300.000
 39    4      0   39 31:31:31:3        yes 3762.9880 1500.0000 2300.000
 40    5      0   40 56:56:56:7        yes 3762.9880 1500.0000 2300.000
 41    5      0   41 57:57:57:7        yes 3762.9880 1500.0000 2300.000
 42    5      0   42 58:58:58:7        yes 3762.9880 1500.0000 2300.000
 43    5      0   43 59:59:59:7        yes 3762.9880 1500.0000 2300.000
 44    5      0   44 60:60:60:7        yes 3762.9880 1500.0000 2300.000
 45    5      0   45 61:61:61:7        yes 3762.9880 1500.0000 2300.000
 46    5      0   46 62:62:62:7        yes 3762.9880 1500.0000 2300.000
 47    5      0   47 63:63:63:7        yes 3762.9880 1500.0000 2300.000
 48    6      0   48 8:8:8:1           yes 3762.9880 1500.0000 2300.000
 49    6      0   49 9:9:9:1           yes 3762.9880 1500.0000 2300.000
 50    6      0   50 10:10:10:1        yes 3762.9880 1500.0000 2300.000
 51    6      0   51 11:11:11:1        yes 3762.9880 1500.0000 2300.000
 52    6      0   52 12:12:12:1        yes 3762.9880 1500.0000 2300.000
 53    6      0   53 13:13:13:1        yes 3762.9880 1500.0000 2300.000
 54    6      0   54 14:14:14:1        yes 3762.9880 1500.0000 2300.000
 55    6      0   55 15:15:15:1        yes 3762.9880 1500.0000 2300.000
 56    7      0   56 40:40:40:5        yes 3762.9880 1500.0000 2300.000
 57    7      0   57 41:41:41:5        yes 3762.9880 1500.0000 2300.000
 58    7      0   58 42:42:42:5        yes 3762.9880 1500.0000 2300.000
 59    7      0   59 43:43:43:5        yes 3762.9880 1500.0000 2300.000
 60    7      0   60 44:44:44:5        yes 3762.9880 1500.0000 2300.000
 61    7      0   61 45:45:45:5        yes 3762.9880 1500.0000 2300.000
 62    7      0   62 46:46:46:5        yes 3762.9880 1500.0000 2300.000
 63    7      0   63 47:47:47:5        yes 3762.9880 1500.0000 2300.000
 64    8      1   64 64:64:64:8        yes 3762.9880 1500.0000 2300.000
 65    8      1   65 65:65:65:8        yes 3762.9880 1500.0000 2300.000
 66    8      1   66 66:66:66:8        yes 3762.9880 1500.0000 2300.000
 67    8      1   67 67:67:67:8        yes 3762.9880 1500.0000 2300.000
 68    8      1   68 68:68:68:8        yes 3762.9880 1500.0000 2300.000
 69    8      1   69 69:69:69:8        yes 3762.9880 1500.0000 2300.000
 70    8      1   70 70:70:70:8        yes 3762.9880 1500.0000 2300.000
 71    8      1   71 71:71:71:8        yes 3762.9880 1500.0000 2300.000
 72    9      1   72 96:96:96:12       yes 3762.9880 1500.0000 2300.000
 73    9      1   73 97:97:97:12       yes 3762.9880 1500.0000 2300.000
 74    9      1   74 98:98:98:12       yes 3762.9880 1500.0000 2300.000
 75    9      1   75 99:99:99:12       yes 3762.9880 1500.0000 2300.000
 76    9      1   76 100:100:100:12    yes 3762.9880 1500.0000 2300.000
 77    9      1   77 101:101:101:12    yes 3762.9880 1500.0000 2300.000
 78    9      1   78 102:102:102:12    yes 3762.9880 1500.0000 2300.000
 79    9      1   79 103:103:103:12    yes 3762.9880 1500.0000 2300.000
 80   10      1   80 80:80:80:10       yes 3762.9880 1500.0000 2300.000
 81   10      1   81 81:81:81:10       yes 3762.9880 1500.0000 2300.000
 82   10      1   82 82:82:82:10       yes 3762.9880 1500.0000 2300.000
