CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE
0   0    0      0    0:0:0:0       yes
1   0    0      1    1:1:1:0       yes
2   0    0      2    2:2:2:0       yes
3   0    0      3    3:3:3:0       yes
4   0    0      4    4:4:4:0       yes
5   0    0      5    5:5:5:0       yes
6   0    0      6    6:6:6:0       yes
7   0    0      7    7:7:7:0       yes
8   0    0      8    8:8:8:0       yes
9   0    0      9    9:9:9:0       yes
10  0    0      10   10:10:10:0    yes
11  0    0      11   11:11:11:0    yes
12  0    0      12   12:12:12:0    yes
13  0    0      13   13:13:13:0    yes
14  0    0      14   14:14:14:0    yes
15  0    0      15   15:15:15:0    yes
16  0    0      16   16:16:16:0    yes
17  0    0      17   17:17:17:0    yes
18  0    0      18   18:18:18:0    yes
19  0    0      19   19:19:19:0    yes
20  0    0      20   20:20:20:0    yes
21  0    0      21   21:21:21:0    yes
22  0    0      22   22:22:22:0    yes
23  0    0      23   23:23:23:0    yes
24  0    0      24   24:24:24:0    yes
25  0    0      25   25:25:25:0    yes
26  0    0      26   26:26:26:0    yes
27  0    0      27   27:27:27:0    yes
28  0    0      28   28:28:28:0    yes
29  0    0      29   29:29:29:0    yes
30  0    0      30   30:30:30:0    yes
31  0    0      31   31:31:31:0    yes
32  0    0      0    0:0:0:0       yes
33  0    0      1    1:1:1:0       yes
34  0    0      2    2:2:2:0       yes
35  0    0      3    3:3:3:0       yes
36  0    0      4    4:4:4:0       yes
37  0    0      5    5:5:5:0       yes
38  0    0      6    6:6:6:0       yes
39  0    0      7    7:7:7:0       yes
40  0    0      8    8:8:8:0       yes
41  0    0      9    9:9:9:0       yes
42  0    0      10   10:10:10:0    yes
43  0    0      11   11:11:11:0    yes
44  0    0      12   12:12:12:0    yes
45  0    0      13   13:13:13:0    yes
46  0    0      14   14:14:14:0    yes
47  0    0      15   15:15:15:0    yes
48  0    0      16   16:16:16:0    yes
49  0    0      17   17:17:17:0    yes
50  0    0      18   18:18:18:0    yes
51  0    0      19   19:19:19:0    yes
52  0    0      20   20:20:20:0    yes
53  0    0      21   21:21:21:0    yes
54  0    0      22   22:22:22:0    yes
55  0    0      23   23:23:23:0    yes
56  0    0      24   24:24:24:0    yes
