CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
  0    0      0    0 0:0:0:0           yes 2450.0000 1500.0000 2450.000
  1    0      0    1 1:1:1:0           yes 2450.0000 1500.0000 2450.000
  2    0      0    2 2:2:2:0           yes 2450.0000 1500.0000 2450.000
  3    0      0    3 3:3:3:0           yes 2450.0000 1500.0000 2450.000
  4    0      0    4 4:4:4:0           yes 2450.0000 1500.0000 2450.000
  5    0      0    5 5:5:5:0           yes 2450.0000 1500.0000 2450.000
  6    0      0    6 6:6:6:0           yes 2450.0000 1500.0000 2450.000
  7    0      0    7 7:7:7:0           yes 2450.0000 1500.0000 2450.000
  8    0      0    8 8:8:8:1           yes 2450.0000 1500.0000 2450.000
  9    0      0    9 9:9:9:1           yes 2450.0000 1500.0000 2450.000
 10    0      0   10 10:10:10:1        yes 2450.0000 1500.0000 2450.000
 11    0      0   11 11:11:11:1        yes 2450.0000 1500.0000 2450.000
 12    0      0   12 12:12:12:1        yes 2450.0000 1500.0000 2450.000
 13    0      0   13 13:13:13:1        yes 2450.0000 1500.0000 2450.000
 14    0      0   14 14:14:14:1        yes 2450.0000 1500.0000 2450.000
 15    0      0   15 15:15:15:1        yes 2450.0000 1500.0000 2450.000
 16    1      0   16 16:16:16:2        yes 2450.0000 1500.0000 2450.000
 17    1      0   17 17:17:17:2        yes 2450.0000 1500.0000 2450.000
 18    1      0   18 18:18:18:2        yes 2450.0000 1500.0000 2450.000
 19    1      0   19 19:19:19:2        yes 2450.0000 1500.0000 2450.000
 20    1      0   20 20:20:20:2        yes 2450.0000 1500.0000 2450.000
 21    1      0   21 21:21:21:2        yes 2450.0000 1500.0000 2450.000
 22    1      0   22 22:22:22:2        yes 2450.0000 1500.0000 2450.000
 23    1      0   23 23:23:23:2        yes 2450.0000 1500.0000 2450.000
 24    1      0   24 24:24:24:3        yes 2450.0000 1500.0000 2450.000
 25    1      0   25 25:25:25:3        yes 2450.0000 1500.0000 2450.000
 26    1      0   26 26:26:26:3        yes 2450.0000 1500.0000 2450.000
 27    1      0   27 27:27:27:3        yes 2450.0000 1500.0000 2450.000
