CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
  0    0      0    0 0:0:0:0           yes 2000.0000 1500.0000 2000.000
  1    0      0    1 1:1:1:0           yes 2000.0000 1500.0000 2000.000
  2    0      0    2 2:2:2:0           yes 2000.0000 1500.0000 2000.000
  3    0      0    3 3:3:3:0           yes 2000.0000 1500.0000 2000.000
  4    0      0    4 4:4:4:0           yes 2000.0000 1500.0000 2000.000
  5    0      0    5 5:5:5:0           yes 2000.0000 1500.0000 2000.000
  6    0      0    6 6:6:6:0           yes 2000.0000 1500.0000 2000.000
  7    0      0    7 7:7:7:0           yes 2000.0000 1500.0000 2398.863
  8    0      0    8 8:8:8:1           yes 2000.0000 1500.0000 2393.830
  9    0      0    9 9:9:9:1           yes 2000.0000 1500.0000 2000.000
 10    0      0   10 10:10:10:1        yes 2000.0000 1500.0000 2000.000
 11    0      0   11 11:11:11:1        yes 2000.0000 1500.0000 2395.062
 12    0      0   12 12:12:12:1        yes 2000.0000 1500.0000 2000.000
 13    0      0   13 13:13:13:1        yes 2000.0000 1500.0000 2000.000
 14    0      0   14 14:14:14:1        yes 2000.0000 1500.0000 2000.000
 15    0      0   15 15:15:15:1        yes 2000.0000 1500.0000 2395.560
 16    0      0   16 16:16:16:2        yes 2000.0000 1500.0000 2000.000
 17    0      0   17 17:17:17:2        yes 2000.0000 1500.0000 2380.028
 18    0      0   18 18:18:18:2        yes 2000.0000 1500.0000 2395.295
 19    0      0   19 19:19:19:2        yes 2000.0000 1500.0000 2389.282
 20    0      0   20 20:20:20:2        yes 2000.0000 1500.0000 2000.000
 21    0      0   21 21:21:21:2        yes 2000.0000 1500.0000 2000.000
 22    0      0   22 22:22:22:2        yes 2000.0000 1500.0000 2000.000
 23    0      0   23 23:23:23:2        yes 2000.0000 1500.0000 2395.356
 24    0      0   24 24:24:24:3        yes 2000.0000 1500.0000 2000.000
 25    0      0   25 25:25:25:3        yes 2000.0000 1500.0000 2444.766
 26    0      0   26 26:26:26:3        yes 2000.0000 1500.0000 2000.000
 27    0      0   27 27:27:27:3        yes 2000.0000 1500.0000 2398.030
 28    0      0   28 28:28:28:3        yes 2000.0000 1500.0000 2395.329
 29    0      0   29 29:29:29:3        yes 2000.0000 1500.0000 2407.587
 30    0      0   30 30:30:30:3        yes 2000.0000 1500.0000 2395.558
 31    0      0   31 31:31:31:3        yes 2000.0000 1500.0000 2000.000
 32    0      0   32 32:32:32:4        yes 2000.0000 1500.0000 2000.000
 33    0      0   33 33:33:33:4        yes 2000.0000 1500.0000 2000.000
 34    0      0   34 34:34:34:4        yes 2000.0000 1500.0000 2000.000
 35    0      0   35 35:35:35:4        yes 2000.0000 1500.0000 2395.241
 36    0      0   36 36:36:36:4        yes 2000.0000 1500.0000 2000.000
 37    0      0   37 37:37:37:4        yes 2000.0000 1500.0000 2000.000
 38    0      0   38 38:38:38:4        yes 2000.0000 1500.0000 2000.000
 39    0      0   39 39:39:39:4        yes 2000.0000 1500.0000 2000.000
 40    0      0   40 40:40:40:5        yes 2000.0000 1500.0000 2000.000
 41    0      0   41 41:41:41:5        yes 2000.0000 1500.0000 2000.000
 42    0      0   42 42:42:42:5        yes 2000.0000 1500.0000 2414.367
 43    0      0   43 43:43:43:5        yes 2000.0000 1500.0000 2000.000
 44    0      0   44 44:44:44:5        yes 2000.0000 1500.0000 2000.000
 45    0      0   45 45:45:45:5        yes 2000.0000 1500.0000 2000.000
 46    0      0   46 46:46:46:5        yes 2000.0000 1500.0000 2000.000
 47    0      0   47 47:47:47:5        yes 2000.0000 1500.0000 2000.000
 48    0      0   48 48:48:48:6        yes 2000.0000 1500.0000 2000.000
 49    0      0   49 49:49:49:6        yes 2000.0000 1500.0000 2000.000
 50    0      0   50 50:50:50:6        yes 2000.0000 1500.0000 2000.000
 51    0      0   51 51:51:51:6        yes 2000.0000 1500.0000 2000.000
 52    0      0   52 52:52:52:6        yes 2000.0000 1500.0000 2000.000
 53    0      0   53 53:53:53:6        yes 2000.0000 1500.0000 2000.000
